-------------------------------------------------------------------------------
NVIDIA devices
-------------------------------------------------------------------------------
  R350 (R350_NI), PCI_ID=4e49
  R350 (R350_NK), PCI_ID=4e4b
  R350 (R350_AH), PCI_ID=4148
  R350 (R350_AI), PCI_ID=4149
  R350 (R350_AJ), PCI_ID=414a
  R350 (R350_AK), PCI_ID=414b
  R350 (R360_NJ), PCI_ID=4e4a
  RV350 (RV350_AP), PCI_ID=4150
  RV350 (RV350_AQ), PCI_ID=4151
  RV350 (RV350_AR), PCI_ID=4152
  RV350 (RV350_AS), PCI_ID=4153
  RV350 (RV350_AT), PCI_ID=4154
  RV350 (RV350_AU), PCI_ID=4155
  RV350 (RV350_AV), PCI_ID=4156
  RV350 (RV350_NP), PCI_ID=4e50
  RV350 (RV350_NQ), PCI_ID=4e51
  RV350 (RV350_NR), PCI_ID=4e52
  RV350 (RV350_NS), PCI_ID=4e53
  RV350 (RV350_NT), PCI_ID=4e54
  RV350 (RV350_NV), PCI_ID=4e56
  RV370 (RV370_5460), PCI_ID=5460
  RV370 (RV370_5462), PCI_ID=5462
  RV370 (RV370_5464), PCI_ID=5464
  RV370 (RV370_5B60), PCI_ID=5b60
  RV370 (RV370_5B62), PCI_ID=5b62
  RV370 (RV370_5B63), PCI_ID=5b63
  RV370 (RV370_5B64), PCI_ID=5b64
  RV370 (RV370_5B65), PCI_ID=5b65
  RV380 (RV380_3150), PCI_ID=3150
  RV380 (RV380_3151), PCI_ID=3151
  RV380 (RV380_3152), PCI_ID=3152
  RV380 (RV380_3154), PCI_ID=3154
  RV380 (RV380_3155), PCI_ID=3155
  RV380 (RV380_3E50), PCI_ID=3e50
  RV380 (RV380_3E54), PCI_ID=3e54
  R420 (R420_JH), PCI_ID=4a48
  R420 (R420_JI), PCI_ID=4a49
  R420 (R420_JJ), PCI_ID=4a4a
  R420 (R420_JK), PCI_ID=4a4b
  R420 (R420_JL), PCI_ID=4a4c
  R420 (R420_JM), PCI_ID=4a4d
  R420 (R420_JN), PCI_ID=4a4e
  R420 (R420_JO), PCI_ID=4a4f
  R420 (R420_JP), PCI_ID=4a50
  R420 (R420_JT), PCI_ID=4a54
  R423 (R423_UH), PCI_ID=5548
  R423 (R423_UI), PCI_ID=5549
  R423 (R423_UJ), PCI_ID=554a
  R423 (R423_UK), PCI_ID=554b
  R423 (R423_5550), PCI_ID=5550
  R423 (R423_UQ), PCI_ID=5551
  R423 (R423_UR), PCI_ID=5552
  R423 (R423_UT), PCI_ID=5554
  R423 (R423_5D57), PCI_ID=5d57
  R430 (R430_554C), PCI_ID=554c
  R430 (R430_554D), PCI_ID=554d
  R430 (R430_554E), PCI_ID=554e
  R430 (R430_554F), PCI_ID=554f
  R430 (R430_5D48), PCI_ID=5d48
  R430 (R430_5D49), PCI_ID=5d49
  R430 (R430_5D4A), PCI_ID=5d4a
  R480 (R480_5D4C), PCI_ID=5d4c
  R480 (R480_5D4D), PCI_ID=5d4d
  R480 (R480_5D4E), PCI_ID=5d4e
  R480 (R480_5D4F), PCI_ID=5d4f
