-------------------------------------------------------------------------------
ATI devices
-------------------------------------------------------------------------------
  TAHITI, PCI_ID=6788, (HW Video Decode)
  TAHITI, PCI_ID=678a, (HW Video Decode)
  TAHITI, PCI_ID=6790, (HW Video Decode)
  TAHITI, PCI_ID=6791, (HW Video Decode)
  TAHITI, PCI_ID=6792, (HW Video Decode)
  TAHITI, PCI_ID=6798, (HW Video Decode)
  TAHITI, PCI_ID=6799, (HW Video Decode)
  TAHITI, PCI_ID=679a, (HW Video Decode)
  TAHITI, PCI_ID=679b, (HW Video Decode)
  TAHITI, PCI_ID=679e, (HW Video Decode)
  TAHITI, PCI_ID=679f, (HW Video Decode)
  PITCAIRN, PCI_ID=6800, (HW Video Decode)
  PITCAIRN, PCI_ID=6801, (HW Video Decode)
  PITCAIRN, PCI_ID=6802, (HW Video Decode)
  PITCAIRN, PCI_ID=6806, (HW Video Decode)
  PITCAIRN, PCI_ID=6808, (HW Video Decode)
  PITCAIRN, PCI_ID=6809, (HW Video Decode)
  PITCAIRN, PCI_ID=6810, (HW Video Decode)
  PITCAIRN, PCI_ID=6811, (HW Video Decode)
  PITCAIRN, PCI_ID=6816, (HW Video Decode)
  PITCAIRN, PCI_ID=6817, (HW Video Decode)
  PITCAIRN, PCI_ID=6818, (HW Video Decode)
  PITCAIRN, PCI_ID=6819, (HW Video Decode)
  PITCAIRN, PCI_ID=684c, (HW Video Decode)
  VERDE, PCI_ID=6820, (HW Video Decode)
  VERDE, PCI_ID=6821, (HW Video Decode)
  VERDE, PCI_ID=6822, (HW Video Decode)
  VERDE, PCI_ID=6823, (HW Video Decode)
  VERDE, PCI_ID=6824, (HW Video Decode)
  VERDE, PCI_ID=6825, (HW Video Decode)
  VERDE, PCI_ID=6826, (HW Video Decode)
  VERDE, PCI_ID=6827, (HW Video Decode)
  VERDE, PCI_ID=6828, (HW Video Decode)
  VERDE, PCI_ID=6829, (HW Video Decode)
  VERDE, PCI_ID=682a, (HW Video Decode)
